gisjoin,centroid_lat,centroid_lon,lat_sq,lon_sq,lat_x_lon
G2600150,42.59493020087723,-85.30896702518133,1814.3280788176037,7277.619854903476,-3633.7294959465366
G2900090,36.709760497743176,-93.82905582219924,1347.6065158016652,8803.891716485381,-3444.442166962309
G1800050,39.20592120334335,-85.89765540634824,1537.1042574027676,7378.407204307746,-3367.6967094132287
G2000090,38.478851459478435,-98.75646380604108,1480.6220096406057,9752.8391434739,-3800.035301456012
G2900110,37.50230712532605,-94.3470974672804,1406.423039722281,8901.374800500509,-3538.233825601021
G1300150,34.23774916629521,-84.84073805460184,1172.2234679741482,7197.9508336495655,-2904.7559085968146
G4800210,30.103527004478245,-97.3120448973152,906.222338109351,9469.63408209709,-2929.435771427328
G2900130,38.257200623777905,-94.33995372206478,1463.6133995679925,8900.026868281324,-3609.1825363829553
G2100110,38.145024887779726,-83.74266820835767,1455.0429236893349,7012.834478655079,-3194.3661629768835
G5100170,38.058638767368286,-79.74113721153239,1448.4599848250282,6358.648963788436,-3034.839136032861
G0500050,36.28701125582188,-92.33693841925783,1316.747185880144,8526.110196641815,-3350.6315237477415
G1200050,30.279012389089917,-85.61466135170448,916.8185912586608,7329.870238367042,-2592.3273917559977
G2600170,43.70698614925307,-83.99170955258168,1910.300638251,7054.607273565241,-3671.024486066775
G5500070,46.52288827026835,-91.20127867263416,2164.379133007873,8317.673231523471,-4242.946897792566
G4800230,33.61641858776849,-99.21351335635812,1130.063598668067,9843.321232512251,-3335.2029945504946
G4600050,44.414420790624874,-98.27810010605155,1972.640774166691,9658.584960455091,-4364.9648926133295
G1600070,42.28444529673841,-111.32952172322088,1787.974314052863,12394.262407121112,-4707.507071217585
G3700130,35.49461677266642,-76.8629938849665,1259.8678198384523,5907.919828960397,-2728.2225119466884
G4500130,32.36344180185285,-80.76577800364949,1047.3923652619164,6523.110896534791,-2613.858556002477
G2200110,30.64847506346925,-93.34351688456654,939.3290237160963,8713.01214437936,-2860.8364495731585
G4000070,36.7497494942074,-100.47679980325908,1350.544087886997,10095.587298704202,-3692.497222749398
G4200070,40.68217432652896,-80.34935789153033,1655.039307934092,6456.019313581228,-3268.7865847679022
G4900010,38.35840916997891,-113.23567562654353,1471.3675540515223,12822.318234599785,-4343.540378321964
G3000010,45.13083602677769,-112.89476161063712,2036.7923604758953,12745.227199122588,-5095.034974531822
G2700050,46.934646681484836,-95.67390314740766,2202.8610591158154,9153.49574345954,-4490.420840862178
G4000090,35.26869689079211,-99.6820627169772,1243.880980374569,9936.513627511373,-3515.6564554139973
G4200090,40.00631986187367,-78.49043677594987,1600.5056288905478,6160.748665279384,-3140.113519756823
G4700030,35.51375690444989,-86.45886464981673,1261.2269294683624,7475.1352765353295,-3070.4791014083276
G5100190,37.31666815517843,-79.52030803554909,1392.5337222037076,6323.479390068614,-2967.432946560154
G4800250,28.417339735321494,-97.74091737431232,807.5451976326821,9553.28692917215,-2777.5368550678213
G3300010,43.51860284130764,-71.42312793497905,1893.8687932594696,5101.263204016384,-3108.2347382862586
G2100130,36.73063054766409,-83.67411950022586,1349.1392204289946,7001.358274138077,-3073.4031697638916
G4800270,31.037705388169822,-97.47825088038744,963.339155762826,9502.009394699751,-3025.501232579571
G3900130,40.01576694519959,-80.98856096659162,1601.2616042125278,6559.147007439328,-3240.8193808662186
G2700070,47.97227035213911,-94.93627743918172,2301.338722738725,9012.896774009285,-4554.30876753811
G1300170,31.75982256510213,-83.22039777245625,1008.6863293667705,6925.634605405841,-2643.065067050431
G1600090,47.2174892675778,-116.65881562499402,2229.4912927338246,13609.279263026348,-5508.336374741492
G4600070,43.19494693120414,-101.6639467793964,1865.8034403895424,10335.558074763943,-4391.36878595279
G5000030,43.035017213821014,-73.0930572953537,1852.012706593871,5342.595024781859,-3145.5609789163523
G3800050,48.069256083159466,-99.3653100525064,2310.6533803883635,9873.464841830728,-4776.416534696469
G0800110,37.95480955115422,-103.0717100366463,1440.5675680643876,10623.777409878492,-3912.067124552701
G0500070,36.33924719162606,-94.25742787890336,1320.5408864541023,8884.46271034667,-3425.243971338335
G1800070,40.60623390511397,-87.31090301306978,1648.866231956827,7623.193784957677,-3545.366950215431
G1900110,42.08000114979968,-92.06569045940928,1770.7264967671422,8476.091359767763,-3874.124360389043
G2700090,45.69909635092992,-93.99879720589406,2088.4074072915764,8835.773876154797,-4295.660090383675
G2800090,34.81715860611606,-89.18849106000886,1212.2345334034417,7954.58693756128,-3105.2898390764926
G2900150,38.29467597030513,-93.28795259768664,1466.482207670665,8702.642099868232,-3572.431916661595
G4100030,44.49653546861064,-123.42057145947146,1979.9416687093249,15232.637459382502,-5491.787835502566
G4700050,36.0695672002586,-88.06834386750752,1301.0136780139708,7756.03319156555,-3176.5870473445448
G5300050,46.23906869395472,-119.51087482731825,2138.0514736842633,14282.84920199093,-5526.071550814992
G2600190,44.63865942798367,-86.01555127572458,1992.609915527515,7398.675061266804,-3839.618898907336
