gisjoin,year,n_couples,n_same_bpl,icm_rate
G4703.00,1880,2801,2292.0,0.8182791860049982
G4709.00,1880,2115,1715.0,0.8108747044917257
G47081.0,1880,1550,1361.0,0.8780645161290322
G47087.0,1880,2503,2077.0,0.8298042349180983
G47095.0,1880,464,270.0,0.5818965517241379
G4701010,1880,306,249.0,0.8137254901960784
G4701050,1880,1088,856.0,0.7867647058823529
G4701150,1880,1436,964.0,0.6713091922005571
G4701170,1880,2218,1810.0,0.8160504959422904
G4701110,1880,1394,1153.0,0.827116212338594
G4701190,1880,3201,2555.0,0.7981880662293034
G4701210,1880,997,782.0,0.7843530591775326
G4701270,1880,838,686.0,0.8186157517899761
G4701310,1880,2874,1894.0,0.6590118302018093
G4805.00,1880,652,234.0,0.3588957055214724
G4807.00,1880,66,8.0,0.1212121212121212
G48013.0,1880,369,127.0,0.3441734417344173
G48021.0,1880,1203,383.0,0.3183707398171239
G48023.0,1880,102,35.0,0.3431372549019608
G48025.0,1880,207,68.0,0.3285024154589372
G48029.0,1880,1071,477.0,0.4453781512605042
G48031.0,1880,393,131.0,0.3333333333333333
G48033.0,1880,2,1.0,0.5
G48041.0,1880,940,312.0,0.3319148936170212
G48051.0,1880,638,182.0,0.2852664576802508
G48055.0,1880,966,339.0,0.3509316770186335
G48059.0,1880,486,157.0,0.3230452674897119
G48073.0,1880,1657,561.0,0.3385636692818346
G48083.0,1880,535,167.0,0.3121495327102804
G48093.0,1880,1351,436.0,0.3227239082161361
G48095.0,1880,103,38.0,0.3689320388349514
G48099.0,1880,1602,495.0,0.3089887640449438
G4801070,1880,2,1.0,0.5
G4801130,1880,3584,1262.0,0.3521205357142857
G4801230,1880,490,177.0,0.3612244897959183
G4801270,1880,60,20.0,0.3333333333333333
G4801310,1880,29,6.0,0.2068965517241379
G4801330,1880,715,232.0,0.3244755244755244
G4801370,1880,38,11.0,0.2894736842105263
G4801390,1880,2738,1020.0,0.3725346968590212
G4801410,1880,231,169.0,0.7316017316017316
G4801430,1880,1798,546.0,0.303670745272525
G4801470,1880,3397,1171.0,0.3447159258168972
G4802970,1880,164,55.0,0.3353658536585366
G4803070,1880,205,75.0,0.3658536585365853
G4803090,1880,2560,910.0,0.35546875
G4803110,1880,58,22.0,0.3793103448275862
G4803150,1880,431,127.0,0.2946635730858468
G4803270,1880,112,29.0,0.2589285714285714
