gisjoin,year,n_married,n_divorced,n_elderly,n_elderly_nonrel,mean_nchild,divorce_ratio,elderly_alone_share
G3709.00,1850,0.0,0.0,212.0,6.0,3.368763557483731,,0.0283018867924528
G37013.0,1850,0.0,0.0,178.0,11.0,2.501221001221001,,0.0617977528089887
G37015.0,1850,0.0,0.0,145.0,18.0,2.6096618357487924,,0.1241379310344827
G37025.0,1850,0.0,0.0,183.0,3.0,3.0453834115805947,,0.0163934426229508
G37033.0,1850,0.0,0.0,265.0,7.0,2.9118745332337563,,0.0264150943396226
G37041.0,1850,0.0,0.0,86.0,6.0,2.4120603015075375,,0.0697674418604651
G37047.0,1850,0.0,0.0,139.0,9.0,3.347043701799486,,0.0647482014388489
G37051.0,1850,0.0,0.0,435.0,24.0,2.834463502193857,,0.0551724137931034
G37057.0,1850,0.0,0.0,280.0,11.0,2.9684937419076394,,0.0392857142857142
G37059.0,1850,0.0,0.0,101.0,8.0,3.1182266009852215,,0.0792079207920792
G37065.0,1850,0.0,0.0,244.0,12.0,2.584692597239649,,0.0491803278688524
G37067.0,1850,0.0,0.0,263.0,21.0,3.022543352601156,,0.0798479087452471
G37079.0,1850,0.0,0.0,78.0,3.0,2.6282245827010624,,0.0384615384615384
G37083.0,1850,0.0,0.0,237.0,19.0,2.173785839672323,,0.080168776371308
G37097.0,1850,0.0,0.0,374.0,22.0,3.3259546209186497,,0.0588235294117647
G37091.0,1850,0.0,0.0,89.0,4.0,2.647277227722772,,0.0449438202247191
G37095.0,1850,0.0,0.0,80.0,3.0,2.6059637912673055,,0.0375
G3701010,1850,0.0,0.0,218.0,5.0,2.947149643705463,,0.0229357798165137
G3701030,1850,0.0,0.0,43.0,0.0,2.730414746543779,,0.0
G3701110,1850,0.0,0.0,148.0,5.0,3.4352941176470586,,0.0337837837837837
G3701130,1850,0.0,0.0,150.0,7.0,3.6023454157782515,,0.0466666666666666
G39023.0,1850,0.0,0.0,463.0,14.0,3.0255434782608694,,0.0302375809935205
G39025.0,1850,0.0,0.0,699.0,36.0,3.069953488372093,,0.0515021459227467
G39027.0,1850,0.0,0.0,474.0,22.0,3.269461077844311,,0.0464135021097046
G39035.0,1850,0.0,0.0,874.0,49.0,2.496978314966228,,0.0560640732265446
G39037.0,1850,0.0,0.0,394.0,25.0,3.2731973570812984,,0.0634517766497461
G39039.0,1850,0.0,0.0,66.0,1.0,3.125,,0.0151515151515151
G39047.0,1850,0.0,0.0,328.0,15.0,3.363807728557964,,0.0457317073170731
G39049.0,1850,0.0,0.0,709.0,42.0,2.897196261682243,,0.0592383638928067
G39053.0,1850,0.0,0.0,374.0,12.0,3.1937137000341647,,0.0320855614973262
G39055.0,1850,0.0,0.0,602.0,21.0,2.651433691756272,,0.0348837209302325
G39057.0,1850,0.0,0.0,559.0,27.0,3.047593439096531,,0.0483005366726296
G39059.0,1850,0.0,0.0,481.0,14.0,3.363028953229399,,0.0291060291060291
G39061.0,1850,0.0,0.0,1957.0,151.0,2.227646316755228,,0.0771589167092488
G3901090,1850,0.0,0.0,496.0,26.0,2.951605504587156,,0.0524193548387096
G3901130,1850,0.0,0.0,843.0,41.0,2.9358044164037853,,0.0486358244365361
G3901150,1850,0.0,0.0,648.0,26.0,3.4064436183395292,,0.0401234567901234
G3901230,1850,0.0,0.0,48.0,2.0,2.906821963394343,,0.0416666666666666
G3901290,1850,0.0,0.0,433.0,16.0,3.024103139013453,,0.0369515011547344
G3901310,1850,0.0,0.0,229.0,12.0,3.1930745015739768,,0.0524017467248908
G3901330,1850,0.0,0.0,773.0,37.0,2.7051478641840085,,0.0478654592496765
G3901350,1850,0.0,0.0,573.0,23.0,3.1126568466994,,0.0401396160558464
G3901450,1850,0.0,0.0,273.0,20.0,3.0476676881171265,,0.0732600732600732
G3901470,1850,0.0,0.0,472.0,20.0,3.166557520192098,,0.0423728813559322
G3901490,1850,0.0,0.0,276.0,15.0,3.2,,0.0543478260869565
G3901510,1850,0.0,0.0,993.0,46.0,3.099515631880229,,0.0463242698892245
G42013.0,1850,0.0,0.0,361.0,14.0,3.0842860941239034,,0.038781163434903
G42017.0,1850,0.0,0.0,2204.0,155.0,2.5070464767616194,,0.0703266787658802
G42019.0,1850,0.0,0.0,879.0,36.0,3.2499051233396585,,0.0409556313993174
G42025.0,1850,0.0,0.0,176.0,20.0,2.7861986437973676,,0.1136363636363636
G42027.0,1850,0.0,0.0,566.0,32.0,3.091614906832298,,0.0565371024734982
G42029.0,1850,0.0,0.0,2403.0,166.0,2.6274287705846477,,0.0690803162713275
G42031.0,1850,0.0,0.0,484.0,26.0,3.216316440049444,,0.0537190082644628
G42033.0,1850,0.0,0.0,270.0,20.0,3.2142857142857144,,0.074074074074074
G42037.0,1850,0.0,0.0,429.0,26.0,3.073379401118789,,0.0606060606060606
G42041.0,1850,0.0,0.0,958.0,68.0,2.7232039636663914,,0.0709812108559499
G42043.0,1850,0.0,0.0,821.0,58.0,2.7783792389746855,,0.0706455542021924
G42081.0,1850,0.0,0.0,664.0,34.0,3.0559486952675807,,0.0512048192771084
G42091.0,1850,0.0,0.0,1841.0,145.0,2.593740685543964,,0.0787615426398696
G42097.0,1850,0.0,0.0,625.0,35.0,3.0828402366863905,,0.056
G42099.0,1850,0.0,0.0,527.0,26.0,3.137546468401487,,0.0493358633776091
G4201010,1850,0.0,0.0,7480.0,847.0,2.3860204506271923,,0.113235294117647
G4401.00,1850,0.0,0.0,365.0,30.0,2.1359678499665105,,0.0821917808219178
G4403.00,1850,0.0,0.0,665.0,49.0,2.348425893172975,,0.0736842105263157
