gisjoin,state,county,year,religious_diversity_index,source,rdi_zscore
G1302070,Georgia,Monroe,1850,0.5756172839506173,churches_proxy,-0.1011950452350309
G1302090,Georgia,Montgomery,1850,0.544378698224852,churches_proxy,-0.2532497123250779
G1302110,Georgia,Morgan,1850,0.4986149584487535,churches_proxy,-0.4760059624811409
G1302130,Georgia,Murray,1850,0.5102880658436213,churches_proxy,-0.4191867942122961
G1302150,Georgia,Muscogee,1850,0.7777777777777778,churches_proxy,0.882826666167056
G1302170,Georgia,Newton,1850,0.54,churches_proxy,-0.2745631452286198
G1302210,Georgia,Oglethorpe,1850,0.5746691871455576,churches_proxy,-0.105809932263786
G1302230,Georgia,Paulding,1850,0.4444444444444444,churches_proxy,-0.7396824152287516
G1302310,Georgia,Pike,1850,0.5892857142857143,churches_proxy,-0.0346635881936684
G1302350,Georgia,Pulaski,1850,0.4733727810650887,churches_proxy,-0.5988729485987406
G1302370,Georgia,Putnam,1850,0.5694444444444444,churches_proxy,-0.1312415097053238
G1302410,Georgia,Rabun,1850,0.4970414201183432,churches_proxy,-0.4836652031741862
G1302430,Georgia,Randolph,1850,0.5671487603305786,churches_proxy,-0.1424158146736139
G1302450,Georgia,Richmond,1850,0.7142857142857143,churches_proxy,0.5737773173297593
G1302510,Georgia,Screven,1850,0.4970414201183432,churches_proxy,-0.4836652031741862
G1302590,Georgia,Stewart,1850,0.5528007346189164,churches_proxy,-0.2122552207254311
G1302610,Georgia,Sumter,1850,0.5344,churches_proxy,-0.3018212977960696
G1302630,Georgia,Talbot,1850,0.6112,churches_proxy,0.0720047945575242
G1302650,Georgia,Taliaferro,1850,0.6122448979591837,churches_proxy,0.0770908638412468
G1302670,Georgia,Tattnall,1850,0.46875,churches_proxy,-0.6213744613769738
G1302710,Georgia,Telfair,1850,0.4081632653061224,churches_proxy,-0.916282043135778
G1302750,Georgia,Thomas,1850,0.5925925925925926,churches_proxy,-0.0185672679417261
G1302850,Georgia,Troup,1850,0.576171875,churches_proxy,-0.098495558192778
G1302890,Georgia,Twiggs,1850,0.0,churches_proxy,-2.903027857089828
G1302910,Georgia,Union,1850,0.5,churches_proxy,-0.4692642349961168
G1302930,Georgia,Upson,1850,0.5322359396433471,churches_proxy,-0.3123549205401433
G1302950,Georgia,Walker,1850,0.5714285714285714,churches_proxy,-0.1215837175541583
G1302970,Georgia,Walton,1850,0.60546875,churches_proxy,0.0441077790392752
G1302990,Georgia,Ware,1850,0.4977777777777777,churches_proxy,-0.4800809622054223
G1303010,Georgia,Warren,1850,0.5240054869684498,churches_proxy,-0.3524168731672011
G1303030,Georgia,Washington,1850,0.5306971904266389,churches_proxy,-0.3198448242744428
G1303050,Georgia,Wayne,1850,0.5,churches_proxy,-0.4692642349961168
G1303170,Georgia,Wilkes,1850,0.6020761245674741,churches_proxy,0.0275940823171321
G1303190,Georgia,Wilkinson,1850,0.4914933837429112,churches_proxy,-0.5106704213833443
G1700010,Illinois,Adams,1850,0.8533333333333333,churches_proxy,1.2505953912834389
G1700030,Illinois,Alexander,1850,0.5,churches_proxy,-0.4692642349961168
G1700050,Illinois,Bond,1850,0.703125,churches_proxy,0.5194522364794533
G1700070,Illinois,Boone,1850,0.6666666666666667,churches_proxy,0.3419903057017871
G1700090,Illinois,Brown,1850,0.7346938775510203,churches_proxy,0.6731146080274614
G1700110,Illinois,Bureau,1850,0.6982248520710059,churches_proxy,0.495600632934526
G1700130,Illinois,Calhoun,1850,0.5,churches_proxy,-0.4692642349961168
G1700150,Illinois,Carroll,1850,0.0,churches_proxy,-2.903027857089828
G1700170,Illinois,Cass,1850,0.7551020408163265,churches_proxy,0.772451898725164
G1700190,Illinois,Champaign,1850,0.375,churches_proxy,-1.0777051405195446
G1700210,Illinois,Christian,1850,0.6599999999999999,churches_proxy,0.3095401240738702
G1700230,Illinois,Clark,1850,0.53125,churches_proxy,-0.3171540086152599
G1700250,Illinois,Clay,1850,0.4444444444444444,churches_proxy,-0.7396824152287516
G1700270,Illinois,Clinton,1850,0.5599999999999999,churches_proxy,-0.1772126003448718
G1700290,Illinois,Coles,1850,0.7421875,churches_proxy,0.7095900194555244
G1700310,Illinois,Cook,1850,0.8587257617728532,churches_proxy,1.2768431836251328
G1700330,Illinois,Crawford,1850,0.6938775510204082,churches_proxy,0.4744400266320567
G1700350,Illinois,Cumberland,1850,0.5,churches_proxy,-0.4692642349961168
G1700370,Illinois,DeKalb,1850,0.5,churches_proxy,-0.4692642349961168
G1700390,Illinois,De Witt,1850,0.6111111111111112,churches_proxy,0.0715721254691524
G1700430,Illinois,Dupage,1850,0.7820069204152249,churches_proxy,0.9034121331743844
G1700450,Illinois,Edgar,1850,0.698060941828255,churches_proxy,0.4948027953623342
G1700470,Illinois,Edwards,1850,0.8099173553719008,churches_proxy,1.0392669357231252
G1700490,Illinois,Effingham,1850,0.6399999999999999,churches_proxy,0.2121895791901217
G1700510,Illinois,Fayette,1850,0.375,churches_proxy,-1.0777051405195446
