gisjoin,state,county,year,total_farms,farm_size_gini
G1701950,Illinois,Whiteside,1860,1734.0,0.43005422444138
G1701970,Illinois,Will,1860,2131.0,0.3946646748284514
G1701990,Illinois,Williamson,1860,1904.0,0.4702700485851646
G1702010,Illinois,Winnebago,1860,1749.0,0.3793484879048072
G1702030,Illinois,Woodford,1860,1397.0,0.4253332491129329
G1800010,Indiana,Adams,1860,997.0,0.3710588807746592
G1800030,Indiana,Allen,1860,2498.0,0.4172929931517763
G1800050,Indiana,Bartholomew,1860,1566.0,0.4862198164221923
G1800070,Indiana,Benton,1860,306.0,0.4562669461069799
G1800090,Indiana,Blackford,1860,466.0,0.4121521671751894
G1800110,Indiana,Boone,1860,2004.0,0.4607764308683626
G1800130,Indiana,Brown,1860,736.0,0.4752400907420808
G1800150,Indiana,Carroll,1860,1472.0,0.4692451817528738
G1800170,Indiana,Cass,1860,1540.0,0.4151952553793867
G1800190,Indiana,Clark,1860,1381.0,0.4744025196910629
G1800210,Indiana,Clay,1860,1173.0,0.4868295080556845
G1800230,Indiana,Clinton,1860,1802.0,0.4574194981513575
G1800250,Indiana,Crawford,1860,952.0,0.5209917681982313
G1800270,Indiana,Daviess,1860,1626.0,0.4827813144525271
