gisjoin,year,bpd_fc
G4403.00,1870,0.2390597271432037
G4405.00,1870,0.271004190627272
G4409.00,1870,0.2006539175397519
G45011.0,1870,0.0911329310359159
G45079.0,1870,0.262075905220181
G4507.00,1870,0.1301447085444709
G4701310,1870,0.5485026498243992
G4701390,1870,0.6390004518918477
G4701410,1870,0.3825370613623571
G4701470,1870,0.3339990387398559
G4701490,1870,0.384106941155758
G4701530,1870,0.3699413380856908
G4701570,1870,0.8394539477465397
G4701590,1870,0.3196103397060893
G4701650,1870,0.4497521104022738
G47057.0,1870,0.352505153597791
G47059.0,1870,0.3961905011087054
G47061.0,1870,0.3903660435308429
G47067.0,1870,0.5008620037807184
G47081.0,1870,0.3377228343635222
G47087.0,1870,0.3496019585099306
G47095.0,1870,0.6035640495867769
G4701010,1870,0.3636953253210955
G4701110,1870,0.409897865482281
G4701150,1870,0.5347379450406138
G4701170,1870,0.4448392214564909
G4701190,1870,0.4349883815283281
G4701210,1870,0.3237988680698339
G4801710,1870,0.8872222222222222
G4801770,1870,0.90385889554082
G4801810,1870,0.8823288443664322
G4801.00,1870,0.8792482662637504
G4805.00,1870,0.8660271081892703
G48013.0,1870,0.8443509615384616
G4801630,1870,0.8657885368458527
G48021.0,1870,0.8925592403214024
G48025.0,1870,0.9081310491175404
G48029.0,1870,0.7492085631491887
G48031.0,1870,0.911193151852002
G48041.0,1870,0.9063263070956622
G48051.0,1870,0.8945724826388889
G48055.0,1870,0.8892955856433263
G48061.0,1870,0.6961344083947378
G48073.0,1870,0.849346455541061
G48083.0,1870,0.8539540816326531
G48091.0,1870,0.8663434903047091
G48093.0,1870,0.8896727415245933
G48099.0,1870,0.9032702160837602
G4801130,1870,0.8856170760783495
G4801270,1870,0.7822222222222222
G4801230,1870,0.9065615261445223
G4801330,1870,0.8355555555555556
G4801390,1870,0.883747671014107
G4801410,1870,0.2417718759955063
G4801430,1870,0.8961670577832194
G4801470,1870,0.8626927440493156
G4801570,1870,0.9113520408163266
G4901.00,1870,0.9251606978879706
G4905.00,1870,0.9127255465653984
G49011.0,1870,0.899401924588761
G49027.0,1870,0.9146078713013502
G49029.0,1870,0.8929500520291364
G49033.0,1870,0.8963641945528705
G49025.0,1870,0.9008264462809916
G49039.0,1870,0.9218836565096952
G49043.0,1870,0.8982834185536888
G49045.0,1870,0.9005221759534668
G06055.0,1880,0.9259718568408332
G06061.0,1880,0.9246542720868396
G06067.0,1880,0.9197485551224656
G06069.0,1880,0.929962341183556
G06071.0,1880,0.926399263503754
G06073.0,1880,0.8915878231756463
G06075.0,1880,0.8751251217724964
G08035.0,1880,0.916776960662361
G08039.0,1880,0.9289617486338798
G08053.0,1880,0.9087513611410452
G08055.0,1880,0.6202047877974719
G08065.0,1880,0.9162148511120723
G08071.0,1880,0.5007766342922277
G08093.0,1880,0.9085412174553602
G0801010,1880,0.9324810465289132
G0801090,1880,0.8869948657228307
G0801110,1880,0.8947681331747919
G0801170,1880,0.8977562529184278
G0901.00,1880,0.4660335394898351
G0903.00,1880,0.4123600303626528
G0907.00,1880,0.2390683896478111
G1101.00,1880,0.8343731690646297
G1201.00,1880,0.8119437329711066
G1203.00,1880,0.6248407018919714
G1209.00,1880,0.7884551124972154
G12019.0,1880,0.7747881670878549
G12025.0,1880,0.8698649813272048
G12031.0,1880,0.8418858000958641
G12033.0,1880,0.8120918367346939
G12053.0,1880,0.7324181774956193
G12057.0,1880,0.7878991662159067
G12067.0,1880,0.687730840258541
G12077.0,1880,0.7385640980658743
G12079.0,1880,0.724168636866058
G12081.0,1880,0.7028248124867768
G12083.0,1880,0.7996844257742266
G1201050,1880,0.6641087053823104
G1201070,1880,0.8651423191715242
G1201090,1880,0.654616081969978
G1201130,1880,0.7395935626996168
G1201190,1880,0.7784426981548279
G1201270,1880,0.8672364266859893
